prop,uri,label
sio:SIO_000563,http://semanticscience.org/resource/SIO_000563,describes
sio:SIO_000557,http://semanticscience.org/resource/SIO_000557,is described by
schema:inSupportOf,https://schema.org/inSupportOf,in support of
sio:SIO_000202,http://semanticscience.org/resource/SIO_000202,contains
sio:SIO_000128,http://semanticscience.org/resource/SIO_000128,is contained in
obo:BFO_0000066,http://purl.obolibrary.org/obo/BFO_0000066,occurs in
sorelph:from,http://sweetontology.net/relaPhysical/from,from
obo:RO_0002331,http://purl.obolibrary.org/obo/RO_0002331,involved in
sorelm:hasThreshold,http://sweetontology.net/relaMath/hasThreshold,has threshold
obo:RO_0002434,http://purl.obolibrary.org/obo/RO_0002434,interacts with
obo:RO_0000087,http://purl.obolibrary.org/obo/RO_0000087,has role
af-x:AFX_0000408,http://purl.allotrope.org/ontologies/property#AFX_0000408,has condition
af-x:AFX_0000355,http://purl.allotrope.org/ontologies/property#AFX_0000355,is condition for
repr:storedAt,https://w3id.org/reproduceme#storedAt,stored at
she:bindsWith,https://soilwise-he.github.io/soil-health#bindsWith,binds with
she:respondsTo,https://soilwise-he.github.io/soil-health#respondsTo,responds to
she:sequesters,https://soilwise-he.github.io/soil-health#sequesters,sequesters
obo:RO_0017003,http://purl.obolibrary.org/obo/RO_0017003,positively correlated with
obo:RO_0017004,http://purl.obolibrary.org/obo/RO_0017004,negatively correlated with
rdf:object,http://www.w3.org/1999/02/22-rdf-syntax-ns#object,object
sorelm:hasInterval,http://sweetontology.net/relaMath/hasInterval,has interval
agrontology:valueUsedIn,http://aims.fao.org/aos/agrontology#valueUsedIn,value used in
agrontology:usingValue,http://aims.fao.org/aos/agrontology#usingValue,using value
biolink:has_percentage,https://w3id.org/biolink/vocab/has_percentage,has percentage
she:isConvertedTo,https://soilwise-he.github.io/soil-health#isConvertedTo,is converted to
she:isConvertedFrom,https://soilwise-he.github.io/soil-health#isConvertedFrom,is converted from
bao:BAO_0095002,http://www.bioassayontology.org/bao#BAO_0095002,has indicator
bao:BAO_0002586,http://www.bioassayontology.org/bao#BAO_0002586,is indicator of
sio:SIO_000635,http://semanticscience.org/resource/SIO_000635,has trigger
sio:SIO_000636,http://semanticscience.org/resource/SIO_000636,is trigger for
time:hasDuration,http://www.w3.org/2006/time#hasDuration,has duration
obo:RO_0002610,http://purl.obolibrary.org/obo/RO_0002610,correlated with
she:focusesOn,https://soilwise-he.github.io/soil-health#focusesOn,focuses on
she:isAcceptedBy,https://soilwise-he.github.io/soil-health#isAcceptedBy,is accepted by
she:accepts,https://soilwise-he.github.io/soil-health#accepts,accepts
af-x:AFX_0002696,http://purl.allotrope.org/ontologies/property#AFX_0002696,has range
agrontology:hasType,http://aims.fao.org/aos/agrontology#hasType,has type
agrontology:typeOf,http://aims.fao.org/aos/agrontology#typeOf,type of
she:appliesTo,https://soilwise-he.github.io/soil-health#appliesTo,applies to
obo:RO_0002552,http://purl.obolibrary.org/obo/RO_0002552,results in ending of
qudt:conversionMultiplier,http://qudt.org/schema/qudt/conversionMultiplier,conversion multiplier
sorelm:hasUpperBound,http://sweetontology.net/relaMath/hasUpperBound,has upper bound
sorelm:hasLowerBound,http://sweetontology.net/relaMath/hasLowerBound,has lower bound
agrontology:greaterThan,http://aims.fao.org/aos/agrontology#greaterThan,greater than
agrontology:smallerThan,http://aims.fao.org/aos/agrontology#smallerThan,smaller than
obo:RO_0002508,http://purl.obolibrary.org/obo/RO_0002508,determines
obo:RO_0002507,http://purl.obolibrary.org/obo/RO_0002507,determined by
she:hasEquilibriumWith,https://soilwise-he.github.io/soil-health#hasEquilibriumWith,has equilibrium with
af-x:AFX_0002727,http://purl.allotrope.org/ontologies/property#AFX_0002727,lacks
she:isEmittedTo,https://soilwise-he.github.io/soil-health#isEmittedTo,is emitted to
