concept,prefLabel,altLabels
http://www.eionet.europa.eu/gemet/concept/11272,engineering work,
http://www.eionet.europa.eu/gemet/concept/11296,combined transport,
http://www.eionet.europa.eu/gemet/concept/11322,urban planning and development,
http://www.eionet.europa.eu/gemet/concept/11344,rural architecture,
http://www.eionet.europa.eu/gemet/concept/11345,traditional architecture,
http://www.eionet.europa.eu/gemet/concept/11355,building destruction,
http://www.eionet.europa.eu/gemet/concept/11427,statutory declaration,
http://www.eionet.europa.eu/gemet/concept/11430,European standard,
http://www.eionet.europa.eu/gemet/concept/11431,ISO standard,
http://www.eionet.europa.eu/gemet/concept/11466,codification,
http://www.eionet.europa.eu/gemet/concept/11468,doctrine (law),
http://www.eionet.europa.eu/gemet/concept/11490,circular mail,
http://www.eionet.europa.eu/gemet/concept/11493,Community ruling,
http://www.eionet.europa.eu/gemet/concept/11508,law draft,
http://www.eionet.europa.eu/gemet/concept/11517,transposition of directive,
http://www.eionet.europa.eu/gemet/concept/11521,concession,
http://www.eionet.europa.eu/gemet/concept/11522,public discussion,
http://www.eionet.europa.eu/gemet/concept/11524,private domain,
http://www.eionet.europa.eu/gemet/concept/11530,public benefit inquiry,
http://www.eionet.europa.eu/gemet/concept/11532,delegated management,
http://www.eionet.europa.eu/gemet/concept/11535,state control,
http://www.eionet.europa.eu/gemet/concept/11536,easement,
http://www.eionet.europa.eu/gemet/concept/11548,police power,
http://www.eionet.europa.eu/gemet/concept/11549,criminal law procedure,
http://www.eionet.europa.eu/gemet/concept/11556,judgement (sentence),
http://www.eionet.europa.eu/gemet/concept/11563,litigation,
http://www.eionet.europa.eu/gemet/concept/11568,administrative court (administration),
http://www.eionet.europa.eu/gemet/concept/11571,Court of Justice of the European Communities,
http://www.eionet.europa.eu/gemet/concept/11587,trial,
http://www.eionet.europa.eu/gemet/concept/11611,lease,
http://www.eionet.europa.eu/gemet/concept/11618,homologation,
http://www.eionet.europa.eu/gemet/concept/11627,repression,
http://www.eionet.europa.eu/gemet/concept/11632,devolution,
http://www.eionet.europa.eu/gemet/concept/11633,pollutant flow,
http://www.eionet.europa.eu/gemet/concept/11636,pollutant migration,
http://www.eionet.europa.eu/gemet/concept/11638,incidental pollution,
http://www.eionet.europa.eu/gemet/concept/1164,carbon cycle,
http://www.eionet.europa.eu/gemet/concept/11671,strong acidity,
http://www.eionet.europa.eu/gemet/concept/11691,quality objective,
http://www.eionet.europa.eu/gemet/concept/11702,metrology,
http://www.eionet.europa.eu/gemet/concept/11734,sulphur monoxide,
http://www.eionet.europa.eu/gemet/concept/11745,pyralene,
http://www.eionet.europa.eu/gemet/concept/11752,asbestosis,
http://www.eionet.europa.eu/gemet/concept/11782,laboratory test,
http://www.eionet.europa.eu/gemet/concept/11786,biotic index,
http://www.eionet.europa.eu/gemet/concept/11787,oxidisable material,
http://www.eionet.europa.eu/gemet/concept/11789,photodegradation,
http://www.eionet.europa.eu/gemet/concept/11807,experimental study,
http://www.eionet.europa.eu/gemet/concept/11812,drawing,
http://www.eionet.europa.eu/gemet/concept/11814,flammable product,
http://www.eionet.europa.eu/gemet/concept/1185,cardiovascular disease,
http://www.eionet.europa.eu/gemet/concept/11868,animal biology,
http://www.eionet.europa.eu/gemet/concept/11889,decibel,
http://www.eionet.europa.eu/gemet/concept/1190,Caribbean Area,
http://www.eionet.europa.eu/gemet/concept/11921,background noise,
http://www.eionet.europa.eu/gemet/concept/12017,ethanol,
http://www.eionet.europa.eu/gemet/concept/1203,cash crop,
http://www.eionet.europa.eu/gemet/concept/12061,desert climate,
http://www.eionet.europa.eu/gemet/concept/12062,equatorial climate,
http://www.eionet.europa.eu/gemet/concept/12063,Mediterranean climate,
http://www.eionet.europa.eu/gemet/concept/12064,mountain climate,
http://www.eionet.europa.eu/gemet/concept/12065,oceanic climate,
http://www.eionet.europa.eu/gemet/concept/12067,tropical climate,
http://www.eionet.europa.eu/gemet/concept/12082,atmospheric inversion,
http://www.eionet.europa.eu/gemet/concept/12122,flood runoff,
http://www.eionet.europa.eu/gemet/concept/12135,hydrographic network,
http://www.eionet.europa.eu/gemet/concept/12161,bog,
http://www.eionet.europa.eu/gemet/concept/12170,ocean outfall,
http://www.eionet.europa.eu/gemet/concept/12198,flushing,
http://www.eionet.europa.eu/gemet/concept/122,adult education,
http://www.eionet.europa.eu/gemet/concept/1220,catch yield,
http://www.eionet.europa.eu/gemet/concept/1224,cation,
http://www.eionet.europa.eu/gemet/concept/1229,cause for concern principle,
http://www.eionet.europa.eu/gemet/concept/12383,mineral waste,
http://www.eionet.europa.eu/gemet/concept/12390,wreck,
http://www.eionet.europa.eu/gemet/concept/12429,residue of grinding,
http://www.eionet.europa.eu/gemet/concept/12436,dehydrated sludge,
http://www.eionet.europa.eu/gemet/concept/12459,classified facility,
http://www.eionet.europa.eu/gemet/concept/12471,quartering,
http://www.eionet.europa.eu/gemet/concept/1255,Central Africa,
http://www.eionet.europa.eu/gemet/concept/1256,Central America,
http://www.eionet.europa.eu/gemet/concept/1257,Central Asia,
http://www.eionet.europa.eu/gemet/concept/1259,central government,
http://www.eionet.europa.eu/gemet/concept/1261,centralisation,
http://www.eionet.europa.eu/gemet/concept/1265,cephalopod,
http://www.eionet.europa.eu/gemet/concept/1266,ceramics,
http://www.eionet.europa.eu/gemet/concept/12665,geotechnics,
http://www.eionet.europa.eu/gemet/concept/12763,civil safety,
http://www.eionet.europa.eu/gemet/concept/12778,risk exposure,
http://www.eionet.europa.eu/gemet/concept/1279,Chagas' disease,
http://www.eionet.europa.eu/gemet/concept/12790,ecocatastrophe,
http://www.eionet.europa.eu/gemet/concept/12872,risk exposure plan,
http://www.eionet.europa.eu/gemet/concept/12900,appraisal,
http://www.eionet.europa.eu/gemet/concept/12914,public institution of industrial and commercial nature,
http://www.eionet.europa.eu/gemet/concept/1292,map chart,
http://www.eionet.europa.eu/gemet/concept/12923,consultancy,
http://www.eionet.europa.eu/gemet/concept/12977,patent,
http://www.eionet.europa.eu/gemet/concept/12982,press release,
http://www.eionet.europa.eu/gemet/concept/13017,report to the minister,
http://www.eionet.europa.eu/gemet/concept/13025,statutory text,
http://www.eionet.europa.eu/gemet/concept/13026,thesis,
http://www.eionet.europa.eu/gemet/concept/13040,CD-ROM,
http://www.eionet.europa.eu/gemet/concept/13041,information centre,
http://www.eionet.europa.eu/gemet/concept/1305,chemical engineering,
http://www.eionet.europa.eu/gemet/concept/13053,technical information,
http://www.eionet.europa.eu/gemet/concept/13101,wild fauna,
http://www.eionet.europa.eu/gemet/concept/13118,biological cycle,
http://www.eionet.europa.eu/gemet/concept/1312,chemical oceanography,
http://www.eionet.europa.eu/gemet/concept/13135,voting,
http://www.eionet.europa.eu/gemet/concept/13137,budget policy,
http://www.eionet.europa.eu/gemet/concept/13142,co-operation policy,
http://www.eionet.europa.eu/gemet/concept/13152,free movement of capital,
http://www.eionet.europa.eu/gemet/concept/13154,social framework,
http://www.eionet.europa.eu/gemet/concept/13157,organisation of teaching,
http://www.eionet.europa.eu/gemet/concept/13165,means of agricultural production,
http://www.eionet.europa.eu/gemet/concept/13178,freedom,
http://www.eionet.europa.eu/gemet/concept/13186,yield (agricultural),
http://www.eionet.europa.eu/gemet/concept/13192,agricultural real estate,
http://www.eionet.europa.eu/gemet/concept/13195,geophysical environment,
http://www.eionet.europa.eu/gemet/concept/13211,fishing ground,
http://www.eionet.europa.eu/gemet/concept/13219,materials technology,
http://www.eionet.europa.eu/gemet/concept/13221,audiovisual equipment,
http://www.eionet.europa.eu/gemet/concept/13223,mechanical equipment,
http://www.eionet.europa.eu/gemet/concept/13234,destination of transport,
http://www.eionet.europa.eu/gemet/concept/13239,accounting system,
http://www.eionet.europa.eu/gemet/concept/13240,economic forecasting,
http://www.eionet.europa.eu/gemet/concept/13245,European Monetary System,
http://www.eionet.europa.eu/gemet/concept/13246,money market,
http://www.eionet.europa.eu/gemet/concept/13247,exchange policy,
http://www.eionet.europa.eu/gemet/concept/13249,public debt,
http://www.eionet.europa.eu/gemet/concept/13251,tax on capital,
http://www.eionet.europa.eu/gemet/concept/13255,market price,
http://www.eionet.europa.eu/gemet/concept/13258,economic concentration,
http://www.eionet.europa.eu/gemet/concept/13264,private international law,
http://www.eionet.europa.eu/gemet/concept/13265,public international law,
http://www.eionet.europa.eu/gemet/concept/13268,criminal liability,
http://www.eionet.europa.eu/gemet/concept/13271,family law,
http://www.eionet.europa.eu/gemet/concept/13273,regulation of agricultural production,
http://www.eionet.europa.eu/gemet/concept/13274,law relating to prisons,
http://www.eionet.europa.eu/gemet/concept/13282,Community act,
http://www.eionet.europa.eu/gemet/concept/13285,access to the courts,
http://www.eionet.europa.eu/gemet/concept/13286,organisation (law),
http://www.eionet.europa.eu/gemet/concept/13287,legal profession,
http://www.eionet.europa.eu/gemet/concept/13294,common commercial policy,
http://www.eionet.europa.eu/gemet/concept/13295,common tariff policy,
http://www.eionet.europa.eu/gemet/concept/13296,research policy,
http://www.eionet.europa.eu/gemet/concept/13297,construction policy,
