concept,prefLabel
http://w3id.org/glosis/model/layerhorizon/voidsClassificationProperty,voids classification
http://w3id.org/glosis/model/layerhorizon/voidsDiameterProperty,voids diameter
http://w3id.org/glosis/model/layerhorizon/wetPlasticityProperty,wet plasticity
http://w3id.org/glosis/model/layerhorizon/zincProperty,zinc
http://w3id.org/glosis/model/surface/saltCoverProperty,salt cover
http://w3id.org/glosis/model/surface/saltPresenceProperty,salt presence
http://w3id.org/glosis/model/surface/saltThicknessProperty,salt thickness
http://w3id.org/glosis/model/surface/sealingConsistenceProperty,sealing consistence
http://w3id.org/glosis/model/surface/sealingThicknessProperty,sealing thickness
http://w3id.org/glosis/model/siteplot/bareCoverAbundanceProperty,bare cover abundance
http://w3id.org/glosis/model/siteplot/cropClassProperty,crop class
http://w3id.org/glosis/model/siteplot/erosionActivityPeriodProperty,erosion activity period
http://w3id.org/glosis/model/siteplot/erosionAreaAffectedProperty,erosion area affected
http://w3id.org/glosis/model/siteplot/erosionCategoryProperty,erosion category
http://w3id.org/glosis/model/siteplot/erosionDegreeProperty,erosion degree
http://w3id.org/glosis/model/siteplot/erosionTotalAreaAffectedProperty,erosion total area affected
http://w3id.org/glosis/model/siteplot/floodDurationProperty,flood duration
http://w3id.org/glosis/model/siteplot/floodFrequencyProperty,flood frequency
http://w3id.org/glosis/model/siteplot/geologyProperty,geology
http://w3id.org/glosis/model/siteplot/grassAbundanceProperty,grass abundance
http://w3id.org/glosis/model/siteplot/groundwaterDepthProperty,groundwater depth
http://w3id.org/glosis/model/siteplot/humanInfluenceClassProperty,human influence class
http://w3id.org/glosis/model/siteplot/koeppenClassProperty,koeppen class
http://w3id.org/glosis/model/siteplot/landUseClassProperty,land use class
http://w3id.org/glosis/model/siteplot/landformComplexProperty,landform complex
http://w3id.org/glosis/model/siteplot/lithologyProperty,lithology
http://w3id.org/glosis/model/siteplot/majorLandFormProperty,major land form
http://w3id.org/glosis/model/siteplot/parentDepositionProperty,parent deposition
http://w3id.org/glosis/model/siteplot/parentLithologyProperty,parent lithology
http://w3id.org/glosis/model/siteplot/parentTextureUnconsolidatedProperty,parent texture unconsolidated
http://w3id.org/glosis/model/siteplot/pavedAbundanceProperty,paved abundance
http://w3id.org/glosis/model/siteplot/physiographyProperty,physiography
